gun_id,hit_pct_100m,hit_pct_250m,hit_pct_500m,hit_pct_750m,hit_pct_1000m,hit_pct_1250m,hit_pct_1500m,hit_pct_1750m,hit_pct_2000m,hit_pct_2500m
pziv_75l48_apcbc,99.6,96.9,84.4,63.1,38.8,18.9,6.9,1.8,0.3,0.0
tiger_88_apcbc,99.7,97.2,86.2,67.2,44.5,24.3,10.6,3.6,0.9,0.0
pziii_50l60_apcbc,99.7,97.4,86.4,66.0,41.0,19.5,6.6,1.5,0.2,0.0
t34_76_f34_apc,99.5,95.6,78.0,50.0,23.1,7.0,1.3,0.1,0.0,0.0
t3485_85_d5t_apc,99.7,97.2,85.3,64.2,39.3,18.4,6.2,1.4,0.2,0.0
sherman75_m61_apc,99.3,94.0,71.9,40.9,15.9,3.9,0.6,0.0,0.0,0.0
sherman76_m62_apc,99.7,97.2,85.3,64.2,39.2,18.4,6.2,1.4,0.2,0.0
t70_45l46_apbc,99.6,96.9,84.2,62.0,36.6,16.4,5.2,1.1,0.1,0.0
panther_75l70_apcbc,99.8,98.1,90.4,75.9,56.7,36.7,20.1,9.0,3.2,0.2
sixpdr_57l50_apcbc,99.7,97.5,87.4,69.2,46.7,25.9,11.4,3.8,0.9,0.0
seventeenpdr_76l55_apcbc,99.8,97.9,89.4,74.0,54.3,34.5,18.5,8.2,2.9,0.2
seventeenpdr_76l55_apds,99.9,99.0,94.7,86.5,74.4,59.7,44.1,29.8,18.1,4.6
pak40_75l46_apcbc,99.7,97.2,86.1,66.5,43.2,22.7,9.3,2.8,0.6,0.0
pak40_75l46_apcr,99.8,98.3,91.2,77.6,58.8,38.5,21.2,9.5,3.3,0.2
usm1_57l50_ap,99.7,97.7,88.2,71.2,49.7,29.1,13.8,5.1,1.4,0.0
sixpdr_57l50_apds,99.9,99.0,94.6,86.0,73.2,57.4,40.8,25.9,14.4,2.8
