vehicle,profile,crew_quality,range_m,mobility_pct,gun_pct,neither_pct,neither_below,mobility_at_or_above
Tiger I Ausf E,Hull,elite,100,30.1,0.0,70.0,18,18
Tiger I Ausf E,Hull,elite,250,30.1,0.0,70.0,18,18
Tiger I Ausf E,Hull,elite,500,30.2,0.0,69.8,18,18
Tiger I Ausf E,Hull,elite,750,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,elite,1000,31.3,0.0,68.7,18,18
Tiger I Ausf E,Hull,elite,1500,32.3,0.0,67.7,18,18
Tiger I Ausf E,Hull,elite,2000,33.2,0.0,66.8,18,18
Tiger I Ausf E,Hull,elite,2500,33.2,0.0,66.8,18,18
Tiger I Ausf E,Hull,veteran,100,30.2,0.0,69.8,18,18
Tiger I Ausf E,Hull,veteran,250,30.2,0.0,69.8,18,18
Tiger I Ausf E,Hull,veteran,500,30.2,0.0,69.8,18,18
Tiger I Ausf E,Hull,veteran,750,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,veteran,1000,31.3,0.0,68.7,18,18
Tiger I Ausf E,Hull,veteran,1500,32.3,0.0,67.7,18,18
Tiger I Ausf E,Hull,veteran,2000,33.2,0.0,66.8,18,18
Tiger I Ausf E,Hull,veteran,2500,33.2,0.0,66.8,18,18
Tiger I Ausf E,Hull,regular,100,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,regular,250,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,regular,500,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,regular,750,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,regular,1000,31.3,0.0,68.7,18,18
Tiger I Ausf E,Hull,regular,1500,32.3,0.0,67.7,18,18
Tiger I Ausf E,Hull,regular,2000,33.2,0.0,66.8,18,18
Tiger I Ausf E,Hull,regular,2500,33.2,0.0,66.8,18,18
Tiger I Ausf E,Hull,green,100,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,green,250,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,green,500,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,green,750,30.8,0.0,69.2,18,18
Tiger I Ausf E,Hull,green,1000,31.3,0.0,68.7,18,18
Tiger I Ausf E,Hull,green,1500,32.3,0.0,67.7,18,18
Tiger I Ausf E,Hull,green,2000,33.2,0.0,66.8,18,18
Tiger I Ausf E,Hull,green,2500,33.2,0.0,66.8,18,18
Tiger I Ausf E,Hull,militia,100,30.6,0.0,69.4,18,18
Tiger I Ausf E,Hull,militia,250,30.6,0.0,69.4,18,18
Tiger I Ausf E,Hull,militia,500,30.6,0.0,69.4,18,18
Tiger I Ausf E,Hull,militia,750,30.6,0.0,69.4,18,18
Tiger I Ausf E,Hull,militia,1000,31.3,0.0,68.7,18,18
Tiger I Ausf E,Hull,militia,1500,32.3,0.0,67.7,18,18
Tiger I Ausf E,Hull,militia,2000,33.2,0.0,66.8,18,18
Tiger I Ausf E,Hull,militia,2500,33.2,0.0,66.8,18,18
Tiger I Ausf E,Turret,elite,100,0.0,71.4,28.6,13,
Tiger I Ausf E,Turret,elite,250,0.0,71.4,28.6,13,
Tiger I Ausf E,Turret,elite,500,0.0,70.4,29.6,13,
Tiger I Ausf E,Turret,elite,750,0.0,53.2,46.8,15,
Tiger I Ausf E,Turret,elite,1000,0.0,43.4,56.6,16,
Tiger I Ausf E,Turret,elite,1500,0.0,42.4,57.6,16,
Tiger I Ausf E,Turret,elite,2000,0.0,42.6,57.4,16,
Tiger I Ausf E,Turret,elite,2500,0.0,42.6,57.4,16,
Tiger I Ausf E,Turret,veteran,100,0.0,71.0,29.0,13,
Tiger I Ausf E,Turret,veteran,250,0.0,71.0,29.0,13,
Tiger I Ausf E,Turret,veteran,500,0.0,70.4,29.6,13,
Tiger I Ausf E,Turret,veteran,750,0.0,53.2,46.8,15,
Tiger I Ausf E,Turret,veteran,1000,0.0,43.4,56.6,16,
Tiger I Ausf E,Turret,veteran,1500,0.0,42.4,57.6,16,
Tiger I Ausf E,Turret,veteran,2000,0.0,42.6,57.4,16,
Tiger I Ausf E,Turret,veteran,2500,0.0,42.6,57.4,16,
Tiger I Ausf E,Turret,regular,100,0.0,62.9,37.1,14,
Tiger I Ausf E,Turret,regular,250,0.0,62.9,37.1,14,
Tiger I Ausf E,Turret,regular,500,0.0,62.9,37.1,14,
Tiger I Ausf E,Turret,regular,750,0.0,53.2,46.8,15,
Tiger I Ausf E,Turret,regular,1000,0.0,43.4,56.6,16,
Tiger I Ausf E,Turret,regular,1500,0.0,42.4,57.6,16,
Tiger I Ausf E,Turret,regular,2000,0.0,42.6,57.4,16,
Tiger I Ausf E,Turret,regular,2500,0.0,42.6,57.4,16,
Tiger I Ausf E,Turret,green,100,0.0,54.8,45.2,15,
Tiger I Ausf E,Turret,green,250,0.0,54.8,45.2,15,
Tiger I Ausf E,Turret,green,500,0.0,54.8,45.2,15,
Tiger I Ausf E,Turret,green,750,0.0,53.2,46.8,15,
Tiger I Ausf E,Turret,green,1000,0.0,43.4,56.6,16,
Tiger I Ausf E,Turret,green,1500,0.0,42.4,57.6,16,
Tiger I Ausf E,Turret,green,2000,0.0,42.6,57.4,16,
Tiger I Ausf E,Turret,green,2500,0.0,42.6,57.4,16,
Tiger I Ausf E,Turret,militia,100,0.0,47.7,52.3,16,
Tiger I Ausf E,Turret,militia,250,0.0,47.7,52.3,16,
Tiger I Ausf E,Turret,militia,500,0.0,47.7,52.3,16,
Tiger I Ausf E,Turret,militia,750,0.0,47.7,52.3,16,
Tiger I Ausf E,Turret,militia,1000,0.0,43.4,56.6,16,
Tiger I Ausf E,Turret,militia,1500,0.0,42.4,57.6,16,
Tiger I Ausf E,Turret,militia,2000,0.0,42.6,57.4,16,
Tiger I Ausf E,Turret,militia,2500,0.0,42.6,57.4,16,
Sherman M4A1 (75mm),Hull,elite,100,30.1,0.2,69.8,18,18
Sherman M4A1 (75mm),Hull,elite,250,30.1,0.2,69.8,18,18
Sherman M4A1 (75mm),Hull,elite,500,30.1,0.4,69.5,18,18
Sherman M4A1 (75mm),Hull,elite,750,29.3,3.4,67.3,18,18
Sherman M4A1 (75mm),Hull,elite,1000,28.9,6.7,64.4,17,18
Sherman M4A1 (75mm),Hull,elite,1500,27.1,11.3,61.6,17,18
Sherman M4A1 (75mm),Hull,elite,2000,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Hull,elite,2500,27.7,11.2,61.2,17,18
Sherman M4A1 (75mm),Hull,veteran,100,30.2,0.2,69.7,18,18
Sherman M4A1 (75mm),Hull,veteran,250,30.2,0.2,69.7,18,18
Sherman M4A1 (75mm),Hull,veteran,500,30.1,0.4,69.5,18,18
