gun_id,range_m,pen_mm,angle_deg,source
pziv_75l48_apcbc,100,106,30,"Encyclopedia of German Tanks of WWII"
pziv_75l48_apcbc,500,96,30,"Encyclopedia of German Tanks of WWII"
pziv_75l48_apcbc,1000,85,30,"Encyclopedia of German Tanks of WWII"
pziv_75l48_apcbc,1500,74,30,"Encyclopedia of German Tanks of WWII"
pziv_75l48_apcbc,2000,64,30,"Encyclopedia of German Tanks of WWII"
tiger_88_apcbc,100,120,30,"Encyclopedia of German Tanks of WWII"
tiger_88_apcbc,500,110,30,"Encyclopedia of German Tanks of WWII"
tiger_88_apcbc,1000,100,30,"Encyclopedia of German Tanks of WWII"
tiger_88_apcbc,1500,91,30,"Encyclopedia of German Tanks of WWII"
tiger_88_apcbc,2000,84,30,"Encyclopedia of German Tanks of WWII"
pziii_50l60_apcbc,100,67,30,"Encyclopedia of German Tanks of WWII"
pziii_50l60_apcbc,500,57,30,"Encyclopedia of German Tanks of WWII"
pziii_50l60_apcbc,1000,44,30,"Encyclopedia of German Tanks of WWII"
pziii_50l60_apcbc,1500,34,30,"Encyclopedia of German Tanks of WWII"
pziii_50l60_apcbc,2000,26,30,"Encyclopedia of German Tanks of WWII"
t34_76_f34_apc,500,60,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 76mm APC"
t34_76_f34_apc,1000,53,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 76mm APC"
t34_76_f34_apc,1500,47,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 76mm APC"
t34_76_f34_apc,2000,41,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 76mm APC"
t3485_85_d5t_apc,500,96,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 85mm APC"
t3485_85_d5t_apc,1000,88,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 85mm APC"
t3485_85_d5t_apc,1500,76,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 85mm APC"
t3485_85_d5t_apc,2000,68,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- Sov 85mm APC"
sherman75_m61_apc,500,65,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- 75mm M2 APC"
sherman75_m61_apc,1000,55,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- 75mm M2 APC"
sherman75_m61_apc,1500,49,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- 75mm M2 APC"
sherman76_m62_apc,500,94,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- 76mm M1 APCBC"
sherman76_m62_apc,1000,89,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- 76mm M1 APCBC"
sherman76_m62_apc,1500,81,30,"Woodman, Tank Armament in WWII, Airfix Magazine Aug 1991 -- 76mm M1 APCBC"
