vehicle,profile,arc,zone_name,classification,x_min_m,x_max_m,y_min_m,y_max_m,notes
Tiger I Ausf E,Hull,Front,driver,neither,-0.9,-0.2,-0.3,0.3,"General historical knowledge, not project-source-cited: Tiger's driver seated front-left of hull centreline."
Tiger I Ausf E,Hull,Front,radio operator / hull MG,neither,0.2,0.9,-0.3,0.3,"General historical knowledge: radio operator/hull machine-gunner seated front-right, mirroring the driver."
Tiger I Ausf E,Hull,Front,transmission and final drive,mobility,-1.5,1.5,-0.6,-0.3,"General historical knowledge: Tiger (like most WW2-era German and American medium/heavy tanks) used a front-mounted transmission and final drive, engine at rear, driveshaft under the crew floor -- a hull front hit is genuinely a mobility risk, not just a crew risk."
Tiger I Ausf E,Turret,Front,mantlet and gun,gun,-0.5,0.5,-0.3,0.4,"General historical knowledge: Tiger's 88mm gun and mantlet centred on the turret front."
Tiger I Ausf E,Turret,Front,gunner and loader positions,neither,-1.1,-0.5,-0.4,0.4,"General historical knowledge: turret crew positions flanking the gun -- no mobility-critical or ammunition-critical systems directly behind the turret front plate for a Tiger (main ammunition stowage is hull-sponson-based, not reachable from a Front-arc hit on this profile)."
Tiger I Ausf E,Turret,Front,commander position,neither,0.5,1.1,-0.4,0.4,"General historical knowledge: commander's station on the opposite side of the gun from the loader."
Sherman M4A1 (75mm),Hull,Front,driver,neither,-0.7,-0.15,-0.3,0.3,"General historical knowledge, not project-source-cited: M4A1 driver seated front-left."
Sherman M4A1 (75mm),Hull,Front,bow gunner,neither,0.15,0.7,-0.3,0.3,"General historical knowledge: bow machine-gunner seated front-right, mirroring the driver."
Sherman M4A1 (75mm),Hull,Front,transmission and final drive,mobility,-1.1,1.1,-0.6,-0.3,"General historical knowledge: Sherman's large, distinctive cast/welded transmission and final-drive housing bolted to the front of the hull -- an iconic, well-documented feature of the type."
Sherman M4A1 (75mm),Hull,Front,sponson ammunition stowage (dry stowage),gun,-1.35,-1.05,-0.2,0.3,"General historical knowledge: M4A1 is the pre-wet-stowage dry variant -- main gun ammunition stored in hull side sponsons above the tracks, the historically infamous 'Ronson' fire-vulnerability arrangement later fixed by wet stowage on other Sherman variants (see Sherman M4A3 (76mm) in this roster, already noted as wet-stowage-era)."
Sherman M4A1 (75mm),Hull,Front,sponson ammunition stowage (dry stowage),gun,1.05,1.35,-0.2,0.3,"Mirrors the opposite sponson -- see note on the -1.35/-1.05 zone."
Sherman M4A1 (75mm),Turret,Front,mantlet and gun (M34 mount),gun,-0.4,0.4,-0.3,0.4,"General historical knowledge: Sherman's 75mm gun and M34 gun mount/mantlet centred on the turret front."
Sherman M4A1 (75mm),Turret,Front,gunner and loader positions,neither,-0.9,-0.4,-0.4,0.4,"General historical knowledge: turret crew positions flanking the gun."
Sherman M4A1 (75mm),Turret,Front,commander position,neither,0.4,0.9,-0.4,0.4,"General historical knowledge: commander's station opposite the loader."
