unit_id,nation,unit_type,year_bracket,face,quality,manpower_full,manpower_reduced,weapon1_name,weapon1_count,weapon1_practical_rpm_override,weapon2_name,weapon2_count,weapon2_practical_rpm_override,weapon3_name,weapon3_count,weapon3_practical_rpm_override,m_number,f_number,g_number,source,verify_status,notes
GER_GREN_1943.3_F,Germany,Grenadier Squad,1943.3,F,regular,10,5,MG42 LMG (bipod),1,,Kar98k,7,,MP40,1,,2,1,3,"Nafziger OOB, TM-E 30-451, MIS Special Series No.9; counters/toe/germany_1943.md",ANCHOR,"Corrected 2026-09-11 per counters/toe/germany_1943.md: every source checked (incl. the primary 1943 US translation of the German squad-training manual) has the squad leader carrying an MP38/40, and squad strength as 10 (not 9) -- leader(MP40)+6 riflemen+ammo carrier(Kar98k, per Kennedy's KStN transcription; the primary manual says pistol instead -- see TOE doc Open Questions)+gunner(MG42)+assistant gunner(pistol, unmodeled, resolves to omit). f_number corrected 2->1 per design note E.109 (F# standardized against Rule 6.6.2's table -- ordinary squad, not a stationary F#-capable weapon). MG42 LMG weapon1 slot (count=1, practical_rpm=300) is UNCHANGED -- this is the system's calibration anchor and was not touched."
GER_GREN_1943.3_R,Germany,Grenadier Squad (reduced),1943.3,R,regular,10,5,Kar98k,5,,,,,,,,2,1,2,Derived from front face,ANCHOR,"Rear face: MG42 LMG and MP40 both lost (matches established pattern -- every other squad's rear face drops all special weapons, keeping only the baseline rifle). 5 riflemen remain. f_number corrected 2->1 (E.109)."
GER_PZGR_1943.3_F,Germany,Panzergrenadier Squad,1943.3,F,veteran,10,5,MG42 LMG (bipod),2,,Kar98k,2,,MP40,1,,2,1,4,"Nafziger OOB, KStN 1114 (1 Nov 1943); counters/toe/germany_1943.md",PRELIMINARY,"Corrected 2026-09-11 per counters/toe/germany_1943.md (KStN 1114, the standard truck-mounted Grenadierkompanie (mot) table): squad carries 2x LMG (not 1) -- confirmed at platoon level, 6 LMG across 3 squads -- an MP40-armed leader, and an organic Panzerschreck (not modeled here as a weapon slot: it resolves entirely through the existing flat-PEN infantry AT weapons table, Rule 18.9, not through infantry_calc's rFP formula). Deputy squad leader's G41 rifle also unmodeled (1 man, resolves to omit like other single-rifle roles). Manpower held at 10 (matching the standard squad) with 2 riflemen filling out the balance (leader 1 + deputy 1 + 2 LMG teams of 2 = 8, +2 Panzerschreck-team crew + 2 riflemen would exceed 10 -- the TOE research itself could not fully reconcile this squad's exact headcount; this row assumes a 2-man Panzerschreck team folded into the 2 LMG-team riflemen's Kar98k count rather than a separate slot, since the schema allows only 3 weapon slots and Panzerschreck already has its own resolution path). FLAGGED: headcount reconciliation is a best estimate, not a settled figure -- see counters/toe/germany_1943.md Open Questions. The previous 1x MG42 + 6x MP40 loadout (source: 'Nafziger OOB' alone, no KStN citation) is not supported by the sourced KStN 1114 table and may have represented the separate, unverified armored/SPW-mounted (gp) company variant instead -- that variant remains a candidate for its own row if its breakdown is ever sourced. f_number corrected 2->1 per E.109."
GER_PZGR_1943.3_R,Germany,Panzergrenadier Squad (reduced),1943.3,R,veteran,10,5,Kar98k,5,,,,,,,,2,1,3,Derived from front face,PRELIMINARY,"Rear face: both LMGs, the Panzerschreck, and the MP40 all lost, matching the established squad rear-face pattern (GER_GREN_R, SOV_RIFSQ_R). 5 riflemen remain. f_number corrected 2->1 per E.109."
GER_MG42_1943.3_F,Germany,MG42 HMG Team,1943.3,F,regular,4,2,MG42 HMG (tripod),1,,,,,,,,0,3,1,HDv 130,PRELIMINARY,"Tripod-mounted MG42 team. Weapon counter -- does not count toward stacking. f_number unchanged (3 is correct for a tripod HMG per E.109)."
GER_MG42_1943.3_R,Germany,MG42 HMG Team (reduced crew),1943.3,R,regular,4,2,MG42 HMG (tripod),1,250,,,,,,,0,3,1,Derived from front face,PRELIMINARY,"Rear face: 2-man crew. Reduced practical RPM -- barrel changes slower."
SOV_GDSRIF_1943.3_F,Soviet Union,Guards Rifle Squad,1943.3,F,veteran,9,5,DP-28,1,,Mosin-Nagant,6,,PPSh-41,2,,2,1,3,"Red Army shtat 04/551 (Dec 1942, as amended 1943); counters/toe/soviet_union_1943.md",PRELIMINARY,"Corrected 2026-09-11 per counters/toe/soviet_union_1943.md: independent research working from actual Red Army shtat documents found NO distinct Guards-specific rifle squad organization -- Guards/line differences appear at company level and above (a 2-Maxim MG platoon vs. the standard company's single-Maxim squad), never at squad or platoon. Loadout corrected to match the standard line Rifle Squad (SOV_RIFSQ) exactly; the Guards designation is now represented purely by this row's veteran quality tier, which the formulas already treat distinctly (different BTV/EM/MM), rather than by an invented heavier-SMG loadout. The previous 4x PPSh-41 figure (sourced only to 'STAVKA TO&E 1943', no further citation) is not supported by the sourced shtat-derived research. f_number corrected 2->1 per E.109."
SOV_GDSRIF_1943.3_R,Soviet Union,Guards Rifle Squad (reduced),1943.3,R,veteran,9,5,Mosin-Nagant,4,,,,,,,,2,1,2,Derived from front face,PRELIMINARY,"Rear face: DP-28 and PPSh-41 both lost, matching SOV_RIFSQ's rear-face pattern now that the front face matches it. 4 riflemen remain. f_number corrected 2->1 per E.109."
SOV_RIFSQ_1943.3_F,Soviet Union,Rifle Squad (Pattern A),1943.3,F,regular,9,5,DP-28,1,,Mosin-Nagant,6,,PPSh-41,2,,2,1,3,"Red Army shtat 04/551 (Dec 1942, as amended 1943); counters/toe/soviet_union_1943.md",PRELIMINARY,"Corrected 2026-09-11: manpower_full corrected 10->9 per counters/toe/soviet_union_1943.md -- the sourced 1943 shtat squad is 9 men ('Squad pattern A': leader+gunner+assistant gunner+6 riflemen), not 10. The weapon loadout itself (1 DP-28, 6 Mosin-Nagant, 2 PPSh-41) already matched Pattern A and needed no change. Renamed 'Rifle Squad' -> 'Rifle Squad (Pattern A)' now that Pattern B (SOV_RIFSQ_B) exists as a sibling row -- 2 of a platoon's 4 squads use each pattern (Rule/TOE source). f_number corrected 2->1 per E.109."
SOV_RIFSQ_1943.3_R,Soviet Union,Rifle Squad (Pattern A) (reduced),1943.3,R,regular,9,5,Mosin-Nagant,4,,,,,,,,2,1,2,Derived from front face,PRELIMINARY,"Rear face: DP-28 and PPSh lost. 4x Mosin remain. f_number corrected 2->1 per E.109."
